"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90"
"1",0,10.5901639344255,1,0.0297173335305766,0.0188730437318826,0.0243220693315635,0.444876827998727,0.443239330102262,0.423711855130988,0.392634923686135,0.356680058307973,0.31939782002251,0.282084231821862,0.245338339637914,0.209887828011117,0.176634676081799,0.146389906272988,0.119667532232567,0.096642525334504,0.077219251740094,0.0611301164581212,0.04801759937155,0.0374884417654249,0.0291464252681209,0.0226129892651772,0.0175414531015254,0.013626812216112,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,27.7459016393414,0,0.00398803113531789,0.00258236657525747,0.00332580889365138,0.412680309103003,0.39177863375732,0.367212387334877,0.338175385408752,0.302630169126739,0.261683289632481,0.218962018415857,0.178290424760266,0.142220478653966,0.111847756086524,0.0872525365485531,0.0679651944468681,0.0532534298403261,0.042273257954546,0.0341666594245392,0.028143610661319,0.023545869146434,0.0198798962195066,0.016815514809513,0.0141586275616966,0.0118118322345848,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,33.0300546448066,0,0.0359777373146863,0.0227196415948495,0.0292708607326662,1.01076048934548,1.00356442685912,0.932571968485638,0.838763731278305,0.739717452660282,0.64175732005357,0.547567675519175,0.459212323109686,0.378660670578006,0.307457862785115,0.246379907226348,0.195361638392329,0.153667097016226,0.120160829936554,0.0935608665766654,0.0726179946919985,0.0562161493989161,0.0434121286759377,0.0334371794729041,0.0256788200868417,0.019655212386716,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"4",0,53.2021857923714,0,0.0014799532645067,0.000963904165529694,0.00124643810420782,0.00893998607554762,0.034942641148664,0.0756533647532424,0.116398472774071,0.142596855645836,0.149069569528994,0.139665268223387,0.121810314785106,0.101960627347686,0.0839191449474345,0.0691265075295268,0.0575888663032997,0.0486935954762479,0.0417090010004068,0.0360154134432994,0.0311717229783037,0.0269024151794955,0.0230568861845364,0.0195665287206723,0.0164093710876591,0.0135844524940789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"5",0,43.3770491803379,0,0.0144420885853098,0.0092815588965486,0.0119560979690191,0.396165353034458,0.401631133463007,0.383103992487242,0.343736383512223,0.294964374460593,0.245506492760133,0.199847031999485,0.160010386409707,0.126804070059188,0.100247716504365,0.0797413141072392,0.0642739298735413,0.0526851567867703,0.0438924299662944,0.0370244018373815,0.0314571596809756,0.0267849946569717,0.0227635425362395,0.0192526317309122,0.0161720446574707,0.0134727063304243,1,0,0,3,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"6",0,77.6994535519275,0,0.00508737936073364,0.0032942053340267,0.00424594090726948,0.644736216263785,0.640401089635752,0.631281842407086,0.607222837565095,0.564363240956062,0.506780087440346,0.44211174418737,0.377411567516486,0.317279013473787,0.263851293724193,0.217595703557946,0.178129367922057,0.144762006381344,0.116761228716182,0.0934440925181255,0.0741908396471341,0.0584370478991166,0.0456669818883582,0.0354123650345875,0.0272539396522789,0.0208226471518696,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"7",1,10.8907103825129,1,0.0149597437714576,0.00960005106023984,0.0123525163092332,0.651128197618786,0.546676433486548,0.45553408212701,0.383726571783405,0.3274195236378,0.282563359187587,0.245566335924343,0.213567008266119,0.184747420250248,0.158258492616133,0.133898022226876,0.11177123455335,0.0920467135949363,0.0748255284156892,0.0600969502204125,0.0477440726899069,0.0375702276524668,0.0293293491944124,0.0227530462109361,0.0175722823382781,0.0135334655458799,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0
"8",0,70.0464480874575,0,0.00154446366303868,0.00100419307874685,0.00129636673487966,0.18382299615564,0.211904515866217,0.214614158617664,0.20611127956183,0.197112778260224,0.189949048938063,0.182941885438372,0.173869068809404,0.161532408930871,0.146074194470753,0.128597492744097,0.110554544695468,0.093236250461569,0.0775084568095997,0.0637800798451805,0.0521082164884172,0.0423419244551796,0.0342427066581764,0.0275602130614717,0.0220678188972221,0.0175724482332408,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,42.6502732240529,1,2.9506295840855e-05,1.91613335829777e-05,2.4679892345873e-05,0.354951119155022,0.34623922556227,0.331384317392719,0.307600855645825,0.27357233913227,0.232519633934852,0.190257666903799,0.151851542547649,0.119893214547754,0.094660455889282,0.0751303531741252,0.0599419196711483,0.0479392301164304,0.0383226264642251,0.0305840356124668,0.0243856323969337,0.0194663702053141,0.0155962097129508,0.0125651523455136,0.0101876144100848,0.00830854609756834,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"10",0,21.1120218579215,0,5.65942952323344e-07,3.68083222713077e-07,4.74807639960843e-07,0.349969700960079,0.381775057556372,0.399489809573749,0.397445309045566,0.380479391055881,0.353737074207758,0.320395950470655,0.282926493105913,0.243886813938024,0.205756509187058,0.170493240361873,0.139283560453422,0.112569046913016,0.0902398450285739,0.0718676326956456,0.0568978661249172,0.0447736645390912,0.0349973970286401,0.0271495773197171,0.0208849143293361,0.0159197941339806,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
