"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90"
"1",0,10.5928961748626,1,0.0296917264352787,0.018857170458508,0.0243015862065577,0.444255120239758,0.442482727825254,0.423121505722082,0.392193986816849,0.356315406328061,0.319079400672508,0.281817840047697,0.245136490624172,0.209752494211858,0.17655605691336,0.146352757280418,0.119657148993787,0.0966475311534276,0.0772318214752602,0.0611451493587011,0.0480318594594316,0.0374999996655305,0.0291543462139047,0.0226171190119934,0.017542206368816,0.0136249447575796,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,27.7486338797786,0,0.00398723456853842,0.00258185160095746,0.00332514483816611,0.412553351184798,0.391537038312325,0.366868517347833,0.33784543540562,0.302431333125627,0.261650592434865,0.219056998826666,0.178450077230943,0.142392989271493,0.112002247255467,0.0873744028932237,0.0680494044249549,0.0533005578371485,0.0422877448279946,0.0341556464084826,0.0281155401032566,0.0235089652774825,0.0198409546746488,0.0167792804796916,0.0141277630271704,0.0117872901663547,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,33.0327868852438,0,0.0359570752431054,0.0227070132082361,0.0292545991331868,1.00766694378915,1.0019279570947,0.931887540197783,0.838423534798413,0.739498317010648,0.641623192074501,0.547527829223267,0.459263849541551,0.378780425392565,0.307613096271417,0.246540458374391,0.19550675647091,0.153786485490876,0.120252317992848,0.0936271635289333,0.0726639409436219,0.0562469078798911,0.0434322308438834,0.0334501686053697,0.0256872435968064,0.0196607807711617,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"4",0,53.2049180328086,0,0.00147366090942842,0.000959814958356922,0.00124115646136657,0.00874351086994478,0.0343092113396521,0.0745778050539909,0.115171403867626,0.14156085255963,0.14839723512364,0.139334418413552,0.121701557671043,0.101952520243969,0.0839309720195889,0.0691201645486107,0.0575548832375047,0.0486368038894985,0.0416389323717001,0.0359413077499449,0.0311005861431306,0.02683869190005,0.0230028191255584,0.0195227154897199,0.016375307052086,0.0135589860965241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"5",0,43.3797814207751,0,0.0144361811849363,0.00927780268106917,0.0119512574050089,0.395540416639898,0.400792961905488,0.382589343340219,0.343617238913353,0.295080543715078,0.245718058977772,0.200079973168917,0.160226813778196,0.126980824670848,0.100371574703876,0.0798094657553663,0.064292789057498,0.0526667676186904,0.0438503096915744,0.0369704632286043,0.0314002554806522,0.0267307853753554,0.0227150899223303,0.0192111984569461,0.0161377961483222,0.0134452075212699,1,0,0,3,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"6",0,77.7021857923647,0,0.00508233424486496,0.0032909456161899,0.00424173313241016,0.644253944227233,0.639351174638862,0.629963840982502,0.606014168638236,0.56347841397111,0.506240382774027,0.441829927593102,0.377280300419249,0.317217925515799,0.26381619344161,0.217568973144222,0.178107097313181,0.144744908966136,0.116750237209678,0.0934390880862902,0.0741908142108134,0.0584406224421518,0.045672812554227,0.0354193391299672,0.0272612187036026,0.0208296395635343,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"7",1,10.89344262295,1,0.0149705427177398,0.009606912426624,0.0123613589700777,0.652225303644222,0.547992401470707,0.456439185145509,0.384204963699071,0.327596057407405,0.282542138743888,0.245433442021441,0.213391562571785,0.184576003799351,0.158115591464506,0.133791618570392,0.111699446918618,0.0920031363404557,0.0748026402675391,0.0600878706342828,0.0477432415740523,0.0375735216929046,0.0293339567254313,0.0227572541430565,0.0175752345594683,0.0135349184922004,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0
"8",0,70.0491803278947,0,0.00154049148138936,0.00100161228621288,0.00129303386448313,0.182795843930018,0.210909013777768,0.214038553773811,0.205708401726641,0.196672729335892,0.189430431997532,0.182392021089478,0.173353869827125,0.161100492838298,0.145745147074046,0.128365522908315,0.110399293022534,0.0931337785011569,0.077438482250137,0.0637287407584041,0.0520676414914202,0.0423083923026602,0.0342147336255295,0.0275371958950358,0.0220493173034784,0.017557931532444,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,42.6530054644901,1,2.94978106350816e-05,1.91558245033654e-05,2.46727982255829e-05,0.354696924422374,0.345811404229879,0.330913441872656,0.307243057353047,0.273434201475483,0.232593012482852,0.190452964714674,0.152070109341056,0.12007265489766,0.0947808426487107,0.0751991563016571,0.0599762459940752,0.0479544531589311,0.0383283639444662,0.0305847414963583,0.0243827772111159,0.0194603607108426,0.0155874411541427,0.0125543166430148,0.0101756111755583,0.00829628436398086,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"10",0,21.1147540983586,0,5.64930173571163e-07,3.67424046423998e-07,4.73956734007799e-07,0.349145687168265,0.380394044026177,0.398140226638072,0.396353484695054,0.37962112671184,0.353065265857419,0.319895084263541,0.282586116816971,0.243682337509376,0.205651655772407,0.17045082207147,0.139273819648111,0.112572576651522,0.0902464423012177,0.0718734061560548,0.0569023217080993,0.0447775835573697,0.0350016416303497,0.0271546156351543,0.0208907726448465,0.0159261943518538,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
